dex_id,version_id,dex_entry
6,17,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
6,23,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
6,24,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
6,25,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
6,31,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
7,1,"After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth."
7,3,Shoots water at prey while in the water.Withdraws into its shell when in danger.
7,4,"The shell is soft when it is born. It soon becomes soresilient, prod­ ding fingers will bounce off it."
7,5,"The shell, which hardens soon after it is born, isresilient. If you poke it, it will bounce back out."
7,6,"When it feels threatened, it draws its legsinside its shell and sprays water from its mouth."
7,7,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and thegrooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."
7,9,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds."
7,10,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
7,11,"After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth."
7,12,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
7,15,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it."
7,16,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
7,21,It shelters itself in its shell then strikes back with spouts of water at every opportunity.
7,24,Shoots water at prey while in the water. Withdraws into its shell when in danger.
7,25,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
7,34,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
8,1,"Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance."
8,3,"When tapped, this POKéMON will pull in its head, butits tail will still stick out a little bit."
8,4,"It is recognized as a symbol of longevity. If itsshell has algae on it, that WARTORTLE is very old."
8,5,It cleverly con­ trols its furry ears and tail tomaintain its balance while swimming.
8,6,"Its long, furry tail is a symbol of longevity,making it quite popular among older people."
8,7,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages.The scratches on its shell are evidence of this POKéMON’s toughness as a battler."
8,9,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle."
8,10,This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.
8,11,"It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance."
8,12,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
8,15,"It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
8,16,It cleverly controls its furry ears and tail to maintain its balance while swimming.
8,23,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit."
8,25,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler."
8,31,"When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit."
8,33,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
9,1,A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles.
9,3,"Once it takes aim at its enemy, it blasts out waterwith even more force than a fire hose."
9,4,It deliberately makes itself heavy so it can with­stand the recoil of the water jets it fires.
9,5,The rocket cannons on its shell fire jets of watercapable of punch­ ing holes through thick steel.
9,6,It firmly plants its feet on the ground beforeshooting water from the jets on its back.
9,7,BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate.They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
9,9,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.
9,10,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
9,11,The pressurized water jets on this brutal POKéMON’s shell are used for high- speed tackles.
9,12,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
9,15,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.
9,16,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
9,24,The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles.
9,25,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
9,31,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
10,1,Its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls.
10,3,"If you touch the feeler on top of its head, it willrelease a horrible stink to protect itself."
10,4,"For protection, it releases a horri­ ble stench fromthe antenna on its head to drive away enemies."
10,5,Its feet have suction cups designed to stickto any surface. It tenaciously climbs trees to forage.
10,6,It crawls into foliage where it camouflages itselfamong leaves that are the same color as its body.
10,7,"CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes.From its antenna, this POKéMON releases a terrifically strong odor."
10,9,Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.
10,10,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."
10,11,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
10,12,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.
10,15,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies."
10,16,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.
10,25,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor."
10,27,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey."
10,28,"It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers."
10,29,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
10,30,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food."
10,31,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
10,33,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
11,1,"This POKéMON is vulnerable to attack while itsshell is soft, exposing its weak and tender body."
11,3,"Hardens its shell to protect itself. However, a largeimpact may cause it to pop out of its shell."
11,4,"Inside the shell, it is soft and weak as it pre­pares to evolve. It stays motion­ less in the shell."
11,5,It prepares for evolution by har­ dening its shellas much as possi­ ble to protect its soft body.
11,6,"This is its pre- evolved form. At this stage, it canonly harden, so it remains motionless to avoid attack."
11,7,The shell covering this POKéMON’s body is as hard as an iron slab. METAPOD does not move very much.It stays still because it is preparing its soft innards for evolution inside the hard shell.
11,9,Its shell is as hard as an iron slab. A METAPOD does not move very much because it is preparing its soft innards for evolution inside the shell.
11,10,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
11,11,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
11,12,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
11,15,"Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell."
11,16,It prepares for evolution by hardening its shell as much as possible to protect its soft body.
11,24,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
11,25,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
11,27,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.
11,28,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided."
11,29,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.
11,30,"Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides."
11,31,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
11,33,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
12,1,"In battle, it flaps its wings at high speed torelease highly toxic dust into the air."
12,3,"Its wings, covered with poisonous powders, repelwater. This allows it to fly in the rain."
12,4,It collects honey every day. It rubs honey onto thehairs on its legs to carry it back to its nest.
12,5,"Water-repellent powder on its wings enables itto collect honey, even in the heav­ iest of rains."
12,6,"It flits from flower to flower, collecting honey.It can even identify distant flowers in bloom."
12,7,"BUTTERFREE has a superior ability to search for delicious honey from flowers.It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
12,9,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away."
12,10,"The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain."
12,11,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
12,12,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
12,15,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
12,16,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
12,24,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain."
12,25,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
12,27,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.
12,28,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."
12,29,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
12,30,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory."
12,31,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
13,1,"Often found in forests, eating leaves.It has a sharp venomous stinger on its head."
13,3,Beware of the sharp stinger on its head. Ithides in grass and bushes where it eats leaves.
13,4,Its poison stinger is very powerful. Its bright-coloredbody is intended to warn off its enemies.
13,5,It attacks using a two-inch poison barb on its head.It can usually be found under the leaves it eats.
13,6,The barb on top of its head secretes a strong poison.It uses this toxic barb to protect itself.
13,7,WEEDLE has an extremely acute sense of smell. It is capable of distinguishing itsfavorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
13,9,A WEEDLE has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).
13,10,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
13,11,"Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison."
13,12,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
13,15,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
13,16,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.
13,25,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
13,31,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
14,1,"Almost incapable of moving, this POKéMON can onlyharden its shell to protect itself from predators."
14,3,"Able to move only slightly. When endangered, itmay stick out its stinger and poison its enemy."
14,4,"Although it is a cocoon, it can move a little. Itcan extend its poison barb if it is attacked."
14,5,"From this form, it will grow into an adult. As itsbody becomes soft­ er, the external shell hardens."
14,6,"Nearly incapable of movement, it leans againststout trees while waiting for its evolution."
14,7,"KAKUNA remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as itprepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
14,9,"It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes."
14,10,This POKéMON is in a temporary stage while making its body. It is almost completely unable to move on its own.
14,11,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself when it is in danger."
14,12,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
14,15,"Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked."
14,16,"From this form, it will grow into an adult. As its body becomes softer, the external shell hardens."
14,23,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger."
14,25,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
14,31,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
15,1,Flies at high speed and attacks using its largevenomous stingers on its forelegs and tail.
15,3,It has 3 poisonous stingers on its forelegs and itstail. They are used to jab its enemy repeatedly.
15,4,It can take down any opponent with its powerful poi­son stingers. It sometimes attacks in swarms.
15,5,It has three poison barbs. The barb on itstail secretes the most powerful poison.
15,6,"It uses sharp, poisonous stings to defeat prey,then takes the victim back to its nest for food."
15,7,"BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety.If angered, they will attack in a furious swarm."
15,9,"A BEEDRILL is extremely territorial. For safety reasons, no one should  ever approach its nest. If angered, they will attack in a swarm."
15,10,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
15,11,It flies at high speed and attacks using  the large venomous stingers on its forelegs and tail.
15,12,"Its best attack involves flying around at high speed, striking with poison needles, then flying off."
15,15,It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.
15,16,It has three poison barbs. The barb on its tail secretes the most powerful poison.
15,23,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
15,25,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
16,1,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.
16,3,"Very docile. If attacked, it will often kick upsand to protect itself rather than fight back."
16,4,"It usually hides in tall grass. Be­ cause it dislikesfighting, it pro­ tects itself by kicking up sand."
16,5,"Common in grassy areas and forests, it is very docileand will chase off enemies by flap­ ping up sand."
16,6,"It rapidly flaps its wings in the grass, stirring upa dust cloud that drives insect prey out into the open."
16,7,"PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returninghome to its nest, however far it may be removed from its familiar surroundings."
16,9,"It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings."
16,10,"Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs."
16,11,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
16,12,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
16,15,"It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand."
16,16,"Common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand."
16,25,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
16,31,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
17,1,"Very protective of its sprawling territorial area,this POKéMON will fiercely peck at any intruder."
17,3,This POKéMON is full of vitality. It constantlyflies around its large territory in search of prey.
17,4,"It has outstanding vision. However high it flies, itis able to distin­ guish the move­ ments of its prey."
17,5,"It immobilizes its prey using well- developed claws,then carries the prey more than 60 miles to its nest."
17,6,"It slowly flies in a circular pat­ tern, all thewhile keeping a sharp lookout for prey."
17,7,"PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space.If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
17,9,"This POKéMON flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
17,10,The claws on its feet are well developed. It can carry prey such as an EXEGGCUTE to its nest over 60 miles away.
17,11,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
17,12,"It flies over its wide territory in search of prey, downing it with its highly developed claws."
17,15,"It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey."
17,16,"It renders its prey immobile using  well-developed claws, then carries the prey more than 60 miles to its nest."
17,23,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.
17,24,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
17,25,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
17,31,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
18,1,"When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP."
18,3,"This POKéMON flies at Mach 2 speed, seeking prey.Its large talons are feared as wicked weapons."
18,4,Its well-developed chest muscles make it strong enoughto whip up a gusty windstorm with just a few flaps.
18,5,It spreads its beautiful wings wide to frightenits enemies. It can fly at Mach 2 speed.
18,6,"Its outstanding vision allows it to spot splashingMAGIKARP, even while flying at 3300 feet."
18,7,"This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by thestriking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON."
18,9,"This POKéMON has gorgeous, glossy feathers. Many TRAINERS are so captivated by the beautiful feathers on its head that they choose PIDGEOT as their POKéMON."
18,10,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
18,11,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
18,12,"By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."
18,15,Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.
18,16,It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.
18,17,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
18,23,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
18,25,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
18,31,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
19,1,"Bites anything when it attacks. Small and veryquick, it is a common sight in many places."
19,3,"Will chew on any­ thing with its fangs. If you seeone, it is certain that 40 more live in the area."
19,4,"It eats anything. Wherever food is available, it willsettle down and produce offspring continuously."
19,5,"Living wherever there is food available, itceaselessly scav­ enges for edibles the entire day."
19,6,This POKéMON's impressive vital­ ity allows it tolive anywhere. It also multiplies very quickly.
19,7,"RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around.It is not picky about where it lives - it will make its nest anywhere."
19,9,"A RATTATA is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere."
19,10,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."
19,11,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
19,12,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
19,15,"It eats anything. Wherever food is available, it will settle down and produce offspring continuously."
19,16,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day."
19,21,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."
19,25,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
19,27,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."
19,28,"With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly."
19,29,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."
19,30,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.
19,31,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
20,1,It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.
20,3,"Its hind feet are webbed. They act as flippers, soit can swim in rivers and hunt for prey."
20,4,Gnaws on anything with its tough fangs. It can eventopple concrete buildings by gnaw­ ing on them.
20,5,"Its whiskers help it to maintain balance. Its fangsnever stop grow­ ing, so it gnaws to pare them down."
20,6,The webs on its hind legs enable it to crossrivers. It search­ es wide areas for food.
20,7,"RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs.It may even chew on the walls of houses."
